name,Precio Amazon,Precio CoolStuffInc ,Precio eBay,Precio TCGplayer,Precio medio
Blood Mefist,1.21,0,999.99,1800,933.7333333333332
Ten Thousand Dragon,1,999.99,999.99,716.33,679.3275
Holactie the Creator of Light,12.86,0,999.99,0,506.425
Doriado,3.03,0,999.99,0,501.51
Get Your Game On!,720.27,0,299.99,349.98,456.74666666666667
Magicians of Bonds and Unity,0,399.99,830,55.16,428.3833333333334
Testament of the Arcane Lords,85.97,0,674.99,0,380.48
Anotherverse Solaria,0,0,0,370.02,370.02
Anotherverse Gluttonia,0,0,0,364.96,364.96
Anotherverse Dragon,0,0,0,349.42,349.42
"Duel Link Dragon, the Duel Dragon",2.77,0,929.99,0.39,311.05
CONTAIN!,10.18,0.39,999.99,0.05,252.6525
Magi Magi ☆ Magician Gal,2.54,0,699.99,52.61,251.71333333333334
Gate Guardian,999.99,0.79,1.58,0.21,250.6425
Twister,1.2,0.25,999.99,0.09,250.38250000000002
Black Rose Dragon,0.39,0.25,999.99,0.14,250.1925
Garma Sword,0.79,499.99,2.75,387.47,222.75
Breath of Light,699.99,79.99,5,99.99,221.2425
"Chimaera, the Master of Beasts",4.49,0,39.95,600,214.81333333333336
Skull Guardian,405.78,179.99,10,216.19,202.99
"Dogmatika Ecclesia, the Virtuous",767.77,4.99,1.42,0.14,193.57999999999998
Elemental HERO Shining Phoenix Enforcer,21.44,2.99,734.99,4.99,191.1025
Elemental HERO Air Neos,0.89,0,349.99,181.91,177.59666666666666
WINDS OF VICTORY,0,0,0,169.77,169.77
Amatsu-Okami of the Divine Peaks,4.24,0,335,0,169.62
Guardian Chimera,599.99,9.99,7.99,0.4,154.5925
Gil Garth,7.5,0.25,599.99,0.17,151.9775
Metal Dragon,599.99,1.99,3.95,0.31,151.56
Phantom Ghost,92.94,0,210,0,151.47
Reptilianne Viper,600.78,0.49,1.91,0.41,150.89749999999998
Wilmee,499.99,29.99,17.99,31.16,144.7825
Paladins of Bonds and Unity,0,0,0,141.12,141.12
Elemental HERO Dark Neos,0.89,13.99,450,0.38,116.315
Duelist Alliance,457.98,0.25,2.09,0.08,115.1
Novox's Prayer,145.34,139.99,89.99,80,113.83000000000001
Ghostrick Witch,1.31,0.25,450,0.26,112.955
Mirrorjade the Iceblade Dragon,0.57,0.99,450,0.19,112.9375
Elf's Light,0.69,179.99,169.97,99.98,112.6575
Gaia The Fierce Knight,445.01,0.25,4,0.23,112.3725
Fydraulis Harmonia,0,0,0,111.17,111.17
One Who Hunts Souls,209.99,0,6,0,107.995
Magical Broker,399.99,0.49,0.99,0.06,100.38250000000001
Stardust Dragon,2.49,0.99,355,0.42,89.72500000000001
Forbidden Crown,0,0,0,88.5,88.5
Beautiful Headhuntress,101.85,129.99,9,113,88.46000000000001
Fallen of the White Dragon,0,0,0,85.98,85.98
Ultimate Dragon of Pride and Soul,0,0,0,85.73,85.73
Nanana,46,0,122.74,0,84.37
Trap Dustshoot,8.83,9.99,289.95,1.03,77.44999999999999
Jinzo,0.79,0.39,300,0.24,75.355
