set_name,Valor Mercado Set
Shonen Jump Championship 2007 Prize Card A,"115033,33 €"
Shonen Jump Championship 2005 Prize Card,"95074,95 €"
Yu-Gi-Oh! Championship Series 2010 Prize Cards,"30547,47 €"
Retro Pack,"25119,51 €"
Shonen Jump Championship 2004 Prize Card,"24067,8 €"
Shonen Jump Championship 2007 Prize Card B,24000 €
Pharaoh Tour 2007 promotional cards,"21151,04 €"
Shonen Jump Championship 2006 Prize Card,18530 €
Shonen Jump Championship 2009 Prize Card,"14693,33 €"
Yu-Gi-Oh! Championship Series 2011 Prize Card,"13047,42 €"
