card_name,marketplace,Precio medio marketplace USD
Blood Mefist,tcgplayer,1800
Blood Mefist,ebay,999.99
Doriado,ebay,999.99
Holactie the Creator of Light,ebay,999.99
Ten Thousand Dragon,coolstuffinc,999.99
Ten Thousand Dragon,ebay,999.99
Magicians of Bonds and Unity,ebay,830
Get Your Game On!,amazon,720.27
Ten Thousand Dragon,tcgplayer,716.33
Testament of the Arcane Lords,ebay,674.99
Magicians of Bonds and Unity,coolstuffinc,399.99
Anotherverse Solaria,tcgplayer,370.02
Anotherverse Gluttonia,tcgplayer,364.96
Get Your Game On!,tcgplayer,349.98
Anotherverse Dragon,tcgplayer,349.42
Get Your Game On!,ebay,299.99
Testament of the Arcane Lords,amazon,85.97
Magicians of Bonds and Unity,tcgplayer,55.16
Holactie the Creator of Light,amazon,12.86
Doriado,amazon,3.03
Blood Mefist,amazon,1.21
Ten Thousand Dragon,amazon,1
