rarity_name,Precio Mediano por Rareza
European debut,7.99
Oceanian debut,6.21
Ghost/Gold Rare,5.15
Duel Terminal Normal Rare Parallel Rare,4.62
Ghost Rare,3.9
Ultra Rare (Pharaoh's Rare),3.59
Super Parallel Rare,3.325
Extra Secret Rare,3.2
Premium Gold Rare,2.99
2,2.84
Platinum Secret Rare,2.01
Reprint,2
Ultimate Rare,1.85
Duel Terminal Ultra Parallel Rare,1.78
Extra Secret,1.755
Ultra Parallel Rare,1.74
Collector's Rare,1.65
Secret Rare,1.54
Gold Secret Rare,1.5
Gold Rare,1.43
Platinum Rare,1.43
Quarter Century Secret Rare,1.42
Normal Parallel Rare,1.33
New artwork,1.29
Super Short Print,1.275
3,1.03
Short Print,1.02
10000 Secret Rare,1
Duel Terminal Super Parallel Rare,1
Ultra Rare,1
Duel Terminal Normal Parallel Rare,0.99
Duel Terminal Rare Parallel Rare,0.99
Rare,0.99
Starfoil Rare,0.99
Super Rare,0.99
Mosaic Rare,0.98
European & Oceanian debut,0.965
Shatterfoil Rare,0.935
Prismatic Secret Rare,0.925
Ultra Secret Rare,0.89
Common,0.7
Starfoil,0.65
Starlight Rare,0.25
Cr,0
force-SMW,0
Grand Master Rare,0
New,0
