set_name,Suma de set_price
Shonen Jump Championship 2007 Prize Card A,"115033,33 €"
Shonen Jump Championship 2005 Prize Card,"95074,95 €"
Yu-Gi-Oh! Championship Series 2010 Prize Cards,"30547,47 €"
Retro Pack,"25119,51 €"
Shonen Jump Championship 2004 Prize Card,"24067,8 €"
Shonen Jump Championship 2007 Prize Card B,24000 €
Pharaoh Tour 2007 promotional cards,"21151,04 €"
Shonen Jump Championship 2006 Prize Card,18530 €
Shonen Jump Championship 2009 Prize Card,"14693,33 €"
Yu-Gi-Oh! Championship Series 2011 Prize Card,"13047,42 €"
Dark Revelation Volume 4,"11605,69 €"
Yu-Gi-Oh! Championship Series 2013 Prize Card,"10868,22 €"
Tournament Pack: 1st Season,"10308,88 €"
Duel Disk - Yusei Version,"10001,09 €"
Yu-Gi-Oh! Championship Series 2015 Prize Card,"9618,11 €"
Duel Terminal - Preview Wave 2,"8513,45 €"
Yu-Gi-Oh! Championship Series 2016 Prize Card,"7433,64 €"
Tournament Pack: 2nd Season,"7279,03 €"
Yu-Gi-Oh! Championship Series 2019 prize card,"6145,16 €"
Yu-Gi-Oh! Championship Series 2018 prize card,"6085,1 €"
