name,cardmarket_eur,cardmarket_usd,tcgplayer,ebay,amazon,coolstuffinc,avg_price_USD
Ten Thousand Dragon,593.26,676.61,718.01,999.99,1,999.99,679.12
Blood Mefist,45.68,52.1,1800,999.99,1.21,0,570.66
Get Your Game On!,454.44,518.29,349.98,299.99,720.27,0,377.706
Testament of the Arcane Lords,720.91,822.2,0,674.99,85.97,0,316.632
Magicians of Bonds and Unity,32.58,37.16,55.2,830,0,399.99,264.47
Garma Sword,124.25,141.71,380.65,2.75,0.79,499.99,205.178
Holactie the Creator of Light,0,0,0,999.99,12.86,0,202.57
CONTAIN!,0.06,0.07,0.05,999.99,10.18,0.39,202.136
Doriado,0,0,0,999.99,3.03,0,200.604
Gate Guardian,0.22,0.25,0.22,1.58,999.99,0.79,200.566
Twister,0.02,0.02,0.09,999.99,1.2,0.25,200.31
Black Rose Dragon,0.13,0.15,0.18,999.99,0.39,0.25,200.192
"Duel Link Dragon, the Duel Dragon",0.39,0.44,0.41,929.99,2.77,0,186.722
Breath of Light,7.54,8.6,99.99,5,699.99,79.99,178.714
Skull Guardian,8.24,9.4,216.19,10,405.78,179.99,164.272
"Dogmatika Ecclesia, the Virtuous",0.1,0.11,0.15,1.42,767.77,4.99,154.888
Elemental HERO Shining Phoenix Enforcer,7.79,8.88,4.99,734.99,21.44,2.99,154.658
"Chimaera, the Master of Beasts",103.44,117.97,600,39.95,4.49,0,152.482
Magi Magi ☆ Magician Gal,0,0,55.58,699.99,2.54,0,151.622
Anotherverse Gluttonia,229.87,262.17,364.96,0,0,0,125.426
