rarity_name,Cartas distintas por rareza
Common,8604
Super Rare,4464
Ultra Rare,4220
Rare,3037
Secret Rare,2320
Ultimate Rare,1063
Quarter Century Secret Rare,1004
Platinum Secret Rare,774
Collector's Rare,581
Duel Terminal Normal Parallel Rare,498
Starlight Rare,498
Prismatic Secret Rare,454
Starfoil Rare,431
Short Print,359
Shatterfoil Rare,292
Gold Rare,269
Mosaic Rare,215
Duel Terminal Rare Parallel Rare,138
Premium Gold Rare,102
Gold Secret Rare,97
Duel Terminal Super Parallel Rare,84
New,79
Duel Terminal Ultra Parallel Rare,73
Ghost Rare,51
Ultra Parallel Rare,51
Starfoil,49
Platinum Rare,44
2,33
3,29
Ultra Rare (Pharaoh's Rare),19
Grand Master Rare,18
Normal Parallel Rare,17
Super Short Print,12
Reprint,11
New artwork,9
European & Oceanian debut,6
Extra Secret Rare,6
Ghost/Gold Rare,6
Extra Secret,2
Super Parallel Rare,2
10000 Secret Rare,1
Cr,1
Duel Terminal Normal Rare Parallel Rare,1
European debut,1
force-SMW,1
Oceanian debut,1
Ultra Secret Rare,1
