name,revision rarity name,rarezas,Impresiones,precio max,Ratio outlier,Flag Outlier,Nivel outlier
Super Rare,Rareza válida,4464,5471,1800,"4615,38x",Sí,Crítico
Common,Rareza válida,8604,17968,999.99,"3999,96x",Sí,Crítico
Ultra Rare,Rareza válida,4220,5677,1800,"3673,47x",Sí,Crítico
Starlight Rare,Rareza válida,498,521,999.99,"3333,30x",Sí,Crítico
New artwork,Atributo no rareza,9,9,767.77,"3071,08x",Sí,Crítico
Rare,Rareza válida,3037,4017,999.99,"2564,08x",Sí,Crítico
Collector's Rare,Rareza válida,581,628,999.99,"2040,80x",Sí,Crítico
Quarter Century Secret Rare,Rareza válida,1004,1045,999.99,"1785,70x",Sí,Crítico
Secret Rare,Rareza válida,2320,2840,999.99,"1351,34x",Sí,Crítico
Prismatic Secret Rare,Rareza válida,454,481,767.77,"1301,31x",Sí,Crítico
Gold Rare,Rareza válida,269,330,999.99,"1282,04x",Sí,Crítico
Platinum Secret Rare,Rareza válida,774,791,999.99,"1282,04x",Sí,Crítico
Ultimate Rare,Rareza válida,1063,1173,999.99,"1282,04x",Sí,Crítico
Premium Gold Rare,Rareza válida,102,105,999.99,"1010,09x",Sí,Crítico
Starfoil Rare,Rareza válida,431,441,300,"769,23x",Sí,Alto
Ghost Rare,Rareza válida,51,54,999.99,"751,87x",Sí,Alto
Duel Terminal Normal Parallel Rare,Rareza válida,498,594,289.95,"743,46x",Sí,Alto
Short Print,Rareza válida,359,522,230,"489,36x",Sí,Alto
Extra Secret Rare,Rareza válida,6,6,335,"338,38x",Sí,Alto
Duel Terminal Super Parallel Rare,Rareza válida,84,87,149.99,"260,85x",Sí,Alto
Mosaic Rare,Rareza válida,215,215,59.99,"239,96x",Sí,Alto
Duel Terminal Rare Parallel Rare,Rareza válida,138,147,84.99,"217,92x",Sí,Alto
Shatterfoil Rare,Rareza válida,292,297,48.99,"195,96x",Sí,Alto
2,Error parseo,33,34,89.99,"166,65x",Sí,Alto
3,Error parseo,29,29,59.55,"121,53x",Sí,Alto
Normal Parallel Rare,Rareza válida,17,17,42.99,"89,56x",Sí,Medio
Duel Terminal Ultra Parallel Rare,Rareza válida,73,84,49.99,"63,28x",Sí,Medio
Platinum Rare,Rareza válida,44,44,49.99,"54,34x",Sí,Medio
Ultra Rare (Pharaoh's Rare),Rareza válida,19,19,89.69,"53,07x",Sí,Medio
Ultra Parallel Rare,Rareza válida,51,51,39.99,"50,62x",Sí,Medio
Starfoil,Rareza válida,49,49,10.99,"43,96x",Sí,Medio
Super Short Print,Rareza válida,12,29,14.99,"38,44x",Sí,Medio
Gold Secret Rare,Rareza válida,97,98,29.99,"30,29x",Sí,Medio
Extra Secret,Rareza válida,2,2,39.92,"22,75x",Sí,Medio
European & Oceanian debut,Rareza válida,6,6,18.17,"18,35x",Sí,Medio
Reprint,Atributo no rareza,11,11,9,"9,00x",No,Bajo
Ghost/Gold Rare,Rareza válida,6,6,11.99,"8,02x",No,Bajo
Ultra Secret Rare,Rareza válida,1,1,3,"7,69x",No,Bajo
Duel Terminal Normal Rare Parallel Rare,Rareza válida,1,1,4.62,"4,67x",No,Bajo
European debut,Rareza válida,1,1,7.99,"4,02x",No,Bajo
Super Parallel Rare,Rareza válida,2,2,11.95,"3,44x",No,Bajo
10000 Secret Rare,Rareza válida,1,1,999.99,"1,39x",No,Normal
Oceanian debut,Rareza válida,1,1,6.21,"1,14x",No,Normal
Cr,Código interno / revisar,1,1,65.19,,No,Sin dato
force-SMW,Código interno / revisar,1,1,0.37,,No,Sin dato
Grand Master Rare,Rareza válida,18,18,0,,No,Sin dato
New,Atributo no rareza,79,79,162.03,,No,Sin dato
