rarity_name,Cartas distintas por rareza,Impresiones por rareza,Precio máximo marketplaces USD,Ratio outlier marketplaces USD
Super Rare,4464,5471,1800,"4615,38x"
Common,8604,17968,999.99,"3999,96x"
Ultra Rare,4220,5677,1800,"3673,47x"
Starlight Rare,498,521,999.99,"3333,30x"
New artwork,9,9,767.77,"3071,08x"
Rare,3037,4017,999.99,"2564,08x"
Collector's Rare,581,628,999.99,"2040,80x"
Quarter Century Secret Rare,1004,1045,999.99,"1785,70x"
Secret Rare,2320,2840,999.99,"1351,34x"
Prismatic Secret Rare,454,481,767.77,"1301,31x"
Gold Rare,269,330,999.99,"1282,04x"
Platinum Secret Rare,774,791,999.99,"1282,04x"
Ultimate Rare,1063,1173,999.99,"1282,04x"
Premium Gold Rare,102,105,999.99,"1010,09x"
Starfoil Rare,431,441,300,"769,23x"
Ghost Rare,51,54,999.99,"751,87x"
Duel Terminal Normal Parallel Rare,498,594,289.95,"743,46x"
Short Print,359,522,230,"489,36x"
Extra Secret Rare,6,6,335,"338,38x"
Duel Terminal Super Parallel Rare,84,87,149.99,"260,85x"
Mosaic Rare,215,215,59.99,"239,96x"
Duel Terminal Rare Parallel Rare,138,147,84.99,"217,92x"
Shatterfoil Rare,292,297,48.99,"195,96x"
2,33,34,89.99,"166,65x"
3,29,29,59.55,"121,53x"
Normal Parallel Rare,17,17,42.99,"89,56x"
Duel Terminal Ultra Parallel Rare,73,84,49.99,"63,28x"
Platinum Rare,44,44,49.99,"54,34x"
Ultra Rare (Pharaoh's Rare),19,19,89.69,"53,07x"
Ultra Parallel Rare,51,51,39.99,"50,62x"
Starfoil,49,49,10.99,"43,96x"
Super Short Print,12,29,14.99,"38,44x"
Gold Secret Rare,97,98,29.99,"30,29x"
Extra Secret,2,2,39.92,"22,75x"
European & Oceanian debut,6,6,18.17,"18,35x"
Reprint,11,11,9,"9,00x"
Ghost/Gold Rare,6,6,11.99,"8,02x"
Ultra Secret Rare,1,1,3,"7,69x"
Duel Terminal Normal Rare Parallel Rare,1,1,4.62,"4,67x"
European debut,1,1,7.99,"4,02x"
Super Parallel Rare,2,2,11.95,"3,44x"
10000 Secret Rare,1,1,999.99,"1,39x"
Oceanian debut,1,1,6.21,"1,14x"
Cr,1,1,65.19,
force-SMW,1,1,0.37,
Grand Master Rare,18,18,0,
New,79,79,162.03,
